depth,time,nodes

2,0.001508474349975586,21
2,0.001539468765258789,27
2,0.0,27
2,0.0,39
2,0.0037338733673095703,41
2,0.0,21
2,0.009841680526733398,27
2,0.0,27
2,0.0,39
2,0.0,41
2,0.0005075931549072266,21
2,0.0011005401611328125,27
2,0.0,27
2,0.003762483596801758,39
2,0.004861116409301758,41
3,0.007879018783569336,154
3,0.005364179611206055,140
3,0.007709503173828125,149
3,0.009901762008666992,194
3,0.005402803421020508,156
3,0.008192777633666992,130
3,0.008040428161621094,93
3,0.004773139953613281,113
3,0.001271963119506836,2
3,0.006186008453369141,154
3,0.011046171188354492,140
3,0.009735107421875,149
3,0.010799646377563477,194
3,0.012995004653930664,156
3,0.00989842414855957,130
3,0.002630472183227539,93
3,0.0024924278259277344,113
3,0.0,2
3,0.0010395050048828125,154
3,0.011615991592407227,140
3,0.01139521598815918,149
3,0.004921913146972656,194
3,0.0026230812072753906,156
3,0.0076236724853515625,130
3,0.007838249206542969,93
3,0.003833293914794922,113
3,0.0,2
4,0.013427734375,241
4,0.018068552017211914,338
4,0.02167797088623047,385
4,0.019483327865600586,421
4,0.0014388561248779297,173
4,0.016730070114135742,261
4,0.014685630798339844,235
4,0.010004758834838867,221
4,0.0070116519927978516,241
4,0.014919281005859375,338
4,0.012331724166870117,385
4,0.014997482299804688,421
4,0.0023958683013916016,173
4,0.009142875671386719,261
4,0.007607221603393555,235
4,0.006775617599487305,234
4,0.0,15
4,0.009731292724609375,241
4,0.00903463363647461,338
4,0.008656978607177734,385
4,0.014291524887084961,421
4,0.0010123252868652344,173
4,0.010129451751708984,261
4,0.008920431137084961,251
4,0.010498285293579102,232
4,0.0006442070007324219,15
5,0.09104347229003906,2207
5,0.16272425651550293,4703
5,0.1806795597076416,5473
5,0.15825676918029785,4283
5,0.07599377632141113,2447
5,0.05241084098815918,1518
5,0.046213626861572266,1303
5,0.0,41
5,0.0,2
5,0.09093379974365234,2207
5,0.1571052074432373,4703
5,0.18949580192565918,5473
5,0.1500718593597412,4283
5,0.08621573448181152,2447
5,0.05114102363586426,1518
5,0.0437166690826416,1303
5,0.003330707550048828,2
5,0.08957886695861816,2207
5,0.1598966121673584,4703
5,0.20107483863830566,5473
5,0.1423330307006836,4283
5,0.08407258987426758,2447
5,0.05353975296020508,1518
5,0.04348492622375488,1303
5,0.0025148391723632812,72
5,0.014052867889404297,321
5,0.0,19
5,0.0,2
